sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"rt_md_1513180297.1857","| metadata type=sourcetypes | search totalCount > 0",usrlsplunkmstidx,"1513180297.928026",1,"UI:Search",0,1513180297,14,216,completed,"1.164",,,,,,,,,,,,
"rt_md_1513180307.1875","| metadata type=sourcetypes | search totalCount > 0 | table sourcetype totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")",usrlsplunkmstidx,"1513180307.071934",1,"UI:Search",0,1513180307,14,216,completed,"1.064",,,,,,,,,,,,
"rt_md_1513180307.1876","| metadata type=hosts | search totalCount > 0 | table host totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")",usrlsplunkmstidx,"1513180307.077079",1,"UI:Search",0,1513180307,4,216,completed,"1.349",,,,,,,,,,,,
"rt_md_1513180307.1877","| metadata type=sources | search totalCount > 0 | table source totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")",usrlsplunkmstidx,"1513180307.077610",1,"UI:Search",0,1513180307,11,216,completed,"1.345",,,,,,,,,,,,
