customer,role,host
citigroup,idx,splgtdcidxd48
citigroup,idx,splgtdcidxd64
citigroup,idx,splgtdcidxd72
citigroup,idx,splgtdcidxp02
citigroup,idx,splgtdcidxp12
citigroup,idx,splgtdcidxp20
citigroup,idx,splswdcidxd43
citigroup,idx,splswdcidxd51
citigroup,idx,splswdcidxp08
citigroup,idx,splswdcidxp16
citigroup,idx,splswdcidxp24
humana,HF,louapplqs106
humana,UF,GRBADMWPS04
humana,UF,SIMADMWTS03
humana,idx,louapplqs102
humana,idx,louapplqs105
