03-25-2020 20:03:00.921 WARN  KVStoreConfigurationProvider - KV Store is not available. Its status is 'failed'.
03-25-2020 20:03:00.921 INFO  BundlesSetup - Setup stats for /home/splunker/splunk/etc: wallclock_elapsed_msec=16, cpu_time_used=0.016148, shared_services_generation=2, shared_services_population=1
03-25-2020 20:03:00.930 INFO  UserManagerPro - Load authentication: forcing roles="admin, power, splunk-system-role, user"
03-25-2020 20:03:00.931 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.931 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.932 INFO  dispatchRunner - search context: user="splunk-system-user", app="splunk_monitoring_console", bs-pathname="/home/splunker/splunk/etc"
03-25-2020 20:03:00.936 INFO  dispatchRunner - Executing the Search orchestrator and iterator model.
03-25-2020 20:03:00.936 INFO  SearchOrchestrator - SearchOrchestrator getting constructed
03-25-2020 20:03:00.936 INFO  SearchOrchestrator -  Initialized the SRI
03-25-2020 20:03:00.936 INFO  ISplunkDispatch - Not running in splunkd. Bundle replication not triggered.
03-25-2020 20:03:00.941 INFO  SearchOrchestrator - Initialzing the run time settings for the orchestrator.
03-25-2020 20:03:00.941 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.941 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.941 INFO  SearchOrchestrator - Creating the search DAG.
03-25-2020 20:03:00.941 INFO  SearchParser - PARSING: | rest splunk_server_group=dmc_group_license_master /services/licenser/pools \n| join type=outer stack_id splunk_server [rest splunk_server_group=dmc_group_license_master /services/licenser/groups | search is_active=1 | eval stack_id=stack_ids | fields splunk_server stack_id is_active] \n| search is_active=1 \n| fields splunk_server, stack_id, used_bytes \n| join type=outer stack_id splunk_server [rest splunk_server_group=dmc_group_license_master /services/licenser/stacks | eval stack_id=title | eval stack_quota=quota | fields splunk_server stack_id stack_quota] \n| stats sum(used_bytes) as used_bytes max(stack_quota) as stack_quota by splunk_server \n| eval usedGB=round(used_bytes/1024/1024/1024,3) \n| eval totalGB=round(stack_quota/1024/1024/1024,3) \n| eval percentage=round(usedGB / totalGB, 3)*100 \n| fields splunk_server, percentage, usedGB, totalGB \n| where percentage > 90 \n| rename splunk_server AS Instance, percentage AS "License quota used (%)", usedGB AS "License quota used (GB)", totalGB as "Total license quota (GB)"
03-25-2020 20:03:00.943 INFO  SearchOperator:rest - built uri=/services/licenser/pools?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.943 INFO  SearchParser - PARSING: prerest splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/pools?count=0"
03-25-2020 20:03:00.943 INFO  SearchOperator:rest - built uri=/services/licenser/pools?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.944 INFO  ISplunkDispatch - Not running in splunkd. Bundle replication not triggered.
03-25-2020 20:03:00.947 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.947 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.947 INFO  SearchOperator:rest - built uri=/services/licenser/groups?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.947 INFO  SearchParser - PARSING: prerest splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/groups?count=0"
03-25-2020 20:03:00.947 INFO  SearchOperator:rest - built uri=/services/licenser/groups?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.949 INFO  UnifiedSearch - Processed search targeting arguments
03-25-2020 20:03:00.949 INFO  DispatchThread - BatchMode: allowBatchMode: 1, conf(1): 1, timeline/Status buckets(0):0, realtime(0):0, report pipe empty(0):0, reqTimeOrder(0):0, summarize(0):0, statefulStreaming(0):0
03-25-2020 20:03:00.950 INFO  DispatchThread - required fields list to add to remote search = *
03-25-2020 20:03:00.950 INFO  DispatchCommandProcessor - summaryHash=54e7549fbc0b006e summaryId=D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD_splunk_monitoring_console_nobody_54e7549fbc0b006e remoteSearch=prerest  splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/groups?count=0"
03-25-2020 20:03:00.950 INFO  DispatchCommandProcessor - summaryHash=NSc878de13c19bab4b summaryId=D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD_splunk_monitoring_console_nobody_NSc878de13c19bab4b remoteSearch=prerest splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/groups?count=0"
03-25-2020 20:03:00.950 INFO  DispatchThread - Getting summary ID for summaryHash=NSc878de13c19bab4b
03-25-2020 20:03:00.950 INFO  DispatchThread - Matches no summary
03-25-2020 20:03:00.950 INFO  DispatchThread - SrchOptMetrics check_query_matches_ra=0.002728656
03-25-2020 20:03:00.950 INFO  AstOptimizer - Original Search = rest splunk_server_group=dmc_group_license_master /services/licenser/groups | search is_active=1 | eval stack_id=stack_ids | fields splunk_server stack_id is_active
03-25-2020 20:03:00.950 INFO  SearchParser - PARSING: rest splunk_server_group=dmc_group_license_master /services/licenser/groups | search is_active=1 | eval stack_id=stack_ids | fields splunk_server stack_id is_active
03-25-2020 20:03:00.950 INFO  SearchOperator:rest - built uri=/services/licenser/groups?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.950 INFO  UnifiedSearch - Processed search targeting arguments
03-25-2020 20:03:00.950 INFO  AstOptimizer - SrchOptMetrics optimize_toJson=0.000351351
03-25-2020 20:03:00.951 INFO  SearchParser - PARSING:  | fields + splunk_server, stack_id, is_active
03-25-2020 20:03:00.951 INFO  SearchParser - PARSING:  | eval stack_id=stack_ids
03-25-2020 20:03:00.951 INFO  SearchParser - PARSING: | search is_active=1
03-25-2020 20:03:00.951 INFO  SearchParser - PARSING: | rest splunk_server_group=dmc_group_license_master /services/licenser/groups
03-25-2020 20:03:00.951 INFO  ProjElim - Black listed processors=[addinfo]
03-25-2020 20:03:00.959 INFO  AstOptimizer - SrchOptMetrics optimization=0.008347607
03-25-2020 20:03:00.959 INFO  AstOptimizer - Optimized Search = | rest splunk_server_group=dmc_group_license_master /services/licenser/groups| search is_active=1 | eval stack_id=stack_ids | fields + splunk_server, stack_id, is_active
03-25-2020 20:03:00.959 INFO  SearchParser - PARSING: | rest splunk_server_group=dmc_group_license_master /services/licenser/groups| search is_active=1 | eval stack_id=stack_ids | fields + splunk_server, stack_id, is_active
03-25-2020 20:03:00.959 INFO  DispatchThread - SrchOptMetrics reparse_optimized_query=0.000087620
03-25-2020 20:03:00.959 INFO  SearchOperator:rest - built uri=/services/licenser/groups?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.959 INFO  SearchParser - PARSING: prerest splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/groups?count=0"
03-25-2020 20:03:00.959 INFO  SearchOperator:rest - built uri=/services/licenser/groups?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.959 INFO  UnifiedSearch - Processed search targeting arguments
03-25-2020 20:03:00.959 INFO  DispatchThread - BatchMode: allowBatchMode: 1, conf(1): 1, timeline/Status buckets(0):0, realtime(0):0, report pipe empty(0):0, reqTimeOrder(0):0, summarize(0):0, statefulStreaming(0):0
03-25-2020 20:03:00.959 INFO  DispatchThread - required fields list to add to remote search = *
